SD_Picker,SD_Lines,Date
79,283,7/19/2007
499,283,7/19/2007
9005,24,7/19/2007
918,41,7/19/2007
9007,26,7/19/2007
930,75,7/19/2007
E,63,7/20/2007
79,266,7/20/2007
79,269,7/20/2007
499,238,7/20/2007
499,269,7/20/2007
9005,47,7/20/2007
185,150,7/20/2007
918,55,7/20/2007
106,4,7/20/2007
e,119,7/23/2007
106,24,7/23/2007
278,259,7/23/2007
499,259,7/23/2007
960,120,7/23/2007
960,74,7/23/2007
9006,109,7/23/2007
9007,125,7/23/2007
9007,75,7/23/2007
918,100,7/23/2007
955,79,7/23/2007
E,54,7/24/2007
106,9,7/24/2007
278,305,7/24/2007
278,225,7/24/2007
79,305,7/24/2007
79,225,7/24/2007
499,25,7/24/2007
499,225,7/24/2007
9006,64,7/24/2007
960,100,7/24/2007
437,122,7/24/2007
918,27,7/24/2007
E,39,7/25/2007
109,9,7/25/2007
278,307,7/25/2007
278,248,7/25/2007
79,230,7/25/2007
79,247,7/25/2007
499,247,7/25/2007
9006,18,7/25/2007
918,12,7/25/2007
,,7/25/2007
,,7/25/2007
E,76,7/26/2007
106,13,7/26/2007
278,257,7/26/2007
79,240,7/26/2007
79,257,7/26/2007
499,263,7/26/2007
437,166,7/26/2007
437,242,7/26/2007
9006,75,7/26/2007
9006,170,7/26/2007
955,59,7/26/2007
918,51,7/26/2007
E,101,7/27/2007
278,248,7/27/2007
278,232,7/27/2007
79,232,7/27/2007
499,129,7/27/2007
499,231,7/27/2007
9006,93,7/27/2007
960,5,7/27/2007
106,3,7/27/2007
E,95,7/30/2007
930,12,7/30/2007
106,11,7/30/2007
278,325,7/30/2007
278,246,7/30/2007
79,84,7/30/2007
79,247,7/30/2007
499,247,7/30/2007
960,95,7/30/2007
955,36,7/30/2007
,0,7/30/2007
278,294,7/31/2007
278,256,7/31/2007
79,129,7/31/2007
79,256,7/31/2007
499,156,7/31/2007
963,125,7/31/2007
963,110,7/31/2007
960,150,7/31/2007
955,95,7/31/2007
930,50,7/31/2007
930,20,7/31/2007
E,89,7/31/2007
106,6,7/31/2007
E,22,8/1/2007
106,37,8/1/2007
176,54,8/1/2007
278,290,8/1/2007
278,260,8/1/2007
79,54,8/1/2007
79,99,8/1/2007
499,212,8/1/2007
499,260,8/1/2007
963,67,8/1/2007
960,67,8/1/2007
955,100,8/1/2007
,,8/1/2007
,,8/1/2007
E,54,8/2/2007
79,2,8/2/2007
176,19,8/2/2007
278,295,8/2/2007
278,255,8/2/2007
499,166,8/2/2007
499,255,8/2/2007
79,282,8/2/2007
963,75,8/2/2007
960,75,8/2/2007
BO,21,8/2/2007
7 CODES,9,8/2/2007
106,7,8/2/2007
E,13,8/3/2007
79,34,8/3/2007
7 CODES,18,8/3/2007
176,6,8/3/2007
278,300,8/3/2007
278,250,8/3/2007
499,171,8/3/2007
499,250,8/3/2007
79,140,8/3/2007
963,82,8/3/2007
960,82,8/3/2007
955,100,8/3/2007
930,68,8/3/2007
930,66,8/3/2007
106,12,8/3/2007
176,40,8/6/2007
278,298,8/6/2007
278,246,8/6/2007
499,132,8/6/2007
499,246,8/6/2007
79,25,8/6/2007
79,173,8/6/2007
963,64,8/6/2007
960,65,8/6/2007
E,42,8/6/2007
106,65,8/6/2007
,,8/6/2007
,0,8/6/2007
E,36,8/7/2007
79,28,8/7/2007
106,38,8/7/2007
176,20,8/7/2007
278,239,8/7/2007
278,300,8/7/2007
499,300,8/7/2007
499,239,8/7/2007
79,156,8/7/2007
79,166,8/7/2007
963,74,8/7/2007
960,76,8/7/2007
185,120,8/7/2007
185,194,8/7/2007
148,126,8/7/2007
79,18,8/8/2007
EXPORTS,121,8/8/2007
278,250,8/8/2007
278,300,8/8/2007
499,236,8/8/2007
499,300,8/8/2007
79,112,8/8/2007
963,119,8/8/2007
960,119,8/8/2007
185,59,8/8/2007
106,11,8/8/2007
e,41,8/9/2007
79,16,8/9/2007
7codes,15,8/9/2007
106,7,8/9/2007
278,277,8/9/2007
499,79,8/9/2007
499,277,8/9/2007
,,8/9/2007
79,100,8/9/2007
79,141,8/9/2007
185,107,8/9/2007
960,100,8/9/2007
960,124,8/9/2007
148,117,8/9/2007
E,34,8/10/2007
79,18,8/10/2007
176,54,8/10/2007
278,300,8/10/2007
278,250,8/10/2007
499,241,8/10/2007
499,250,8/10/2007
79,109,8/10/2007
963,95,8/10/2007
960,95,8/10/2007
106,9,8/10/2007
E,70,8/13/2007
79,3,8/13/2007
176,94,8/13/2007
278,275,8/13/2007
499,275,8/13/2007
79,137,8/13/2007
79,65,8/13/2007
963,153,8/13/2007
963,69,8/13/2007
960,69,8/13/2007
960,153,8/13/2007
918,50,8/13/2007
185,152,8/13/2007
185,107,8/13/2007
106,20,8/13/2007
e,79,8/14/2007
79,3,8/14/2007
106,11,8/14/2007
278,250,8/14/2007
278,300,8/14/2007
499,250,8/14/2007
499,300,8/14/2007
79,128,8/14/2007
79,94,8/14/2007
148,57,8/14/2007
148,95,8/14/2007
960,95,8/14/2007
185,92,8/14/2007
e,162,8/15/2007
79,3,8/15/2007
278,250,8/15/2007
278,300,8/15/2007
306,242,8/15/2007
306,300,8/15/2007
79,82,8/15/2007
963,111,8/15/2007
148,111,8/15/2007
185,112,8/15/2007
CANADA,3,8/15/2007
106,39,8/15/2007
E,19,8/16/2007
79 (US146),1,8/16/2007
176,75,8/16/2007
278,274,8/16/2007
278,291,8/16/2007
306,291,8/16/2007
306,205,8/16/2007
79,80,8/16/2007
963,100,8/16/2007
960,100,8/16/2007
918,50,8/16/2007
955,101,8/16/2007
106,11,8/16/2007
e,47,8/17/2007
us146,15,8/17/2007
176,13,8/17/2007
278,275,8/17/2007
278,280,8/17/2007
306,201,8/17/2007
306,270,8/17/2007
932,150,8/17/2007
932,99,8/17/2007
963,82,8/17/2007
963,85,8/17/2007
960,85,8/17/2007
8000,50,8/17/2007
918,50,8/17/2007
106,3,8/17/2007
E,75,8/20/2007
278,279,8/20/2007
278,296,8/20/2007
306,180,8/20/2007
306,296,8/20/2007
963,106,8/20/2007
960,105,8/20/2007
918,103,8/20/2007
106,9,8/20/2007
,,8/20/2007
E,22,8/21/2007
79,1,8/21/2007
106,22,8/21/2007
278,250,8/21/2007
278,300,8/21/2007
306,250,8/21/2007
306,300,8/21/2007
79,73,8/21/2007
79,130,8/21/2007
963,131,8/21/2007
960,131,8/21/2007
8000,32,8/21/2007
918,21,8/21/2007
185,147,8/21/2007
8000,126,8/22/2007
can7,38,8/22/2007
79,60,8/22/2007
8000,46,8/22/2007
278,383,8/22/2007
306,383,8/22/2007
79,73,8/22/2007
e,60,8/22/2007
79,70,8/22/2007
cage,35,8/22/2007
278,146,8/22/2007
8000,120,8/22/2007
canada,8,8/23/2007
e,64,8/23/2007
79,19,8/23/2007
278,266,8/23/2007
278,299,8/23/2007
176,12,8/23/2007
79,33,8/23/2007
79,88,8/23/2007
963,107,8/23/2007
960,107,8/23/2007
8000,66,8/23/2007
918,50,8/23/2007
106,17,8/23/2007
306,266,8/23/2007
306,299,8/23/2007
79,227,8/24/2007
e,33,8/24/2007
canada,4,8/24/2007
278,275,8/24/2007
278,275,8/24/2007
306,229,8/24/2007
306,275,8/24/2007
963,55,8/24/2007
960,55,8/24/2007
185,47,8/24/2007
918,26,8/24/2007
148,150,8/24/2007
106,7,8/24/2007
79,9,8/27/2007
exports,120,8/27/2007
176,29,8/27/2007
278,275,8/27/2007
278,275,8/27/2007
306,125,8/27/2007
306,275,8/27/2007
79,107,8/27/2007
960,100,8/27/2007
960,100,8/27/2007
918,50,8/27/2007
106,11,8/27/2007
exports,17,8/28/2007
79,31,8/28/2007
278,350,8/28/2007
278,200,8/28/2007
306,350,8/28/2007
306,200,8/28/2007
79,15,8/28/2007
79,144,8/28/2007
963,216,8/28/2007
918,6,8/28/2007
185,175,8/28/2007
148,50,8/28/2007
106,2,8/28/2007
e,68,8/29/2007
79,20,8/29/2007
278,330,8/29/2007
278,220,8/29/2007
306,330,8/29/2007
306,220,8/29/2007
